outflow,temp,(pH(-)),BOD,COD,SS,T-N,T-P,Escherichia coli
1348,20.8,7.2,0.7,6.8,2,4.929,0.077,64
1603,21.1,7.3,0.8,6.9,1.5,4.056,0.032,50
1316,20.9,7,0.5,5.9,1.5,3.745,0.042,52
1661,21,7,0.7,6.9,1.5,4.398,0.05,51
1497,21,7.1,0.7,6.1,1.5,4.252,0.037,52
1772,20.3,7.4,0.4,4.9,2.5,4.078,0.063,53
1563,20.1,7.4,0.6,5.4,2,9.337,0.17,54
1751,19.6,7,0.9,7.7,1.8,11.998,0.153,63
1598,19.3,7,0.4,5.7,2,6.852,0.108,59
1615,20.3,7.1,0.8,6.5,1.5,6.346,0.079,40
1305,19.3,7.1,0.6,7,1.7,9.621,0.079,42
1743,17.7,7.1,0.6,6.8,1,5.256,0.074,45
1452,18.7,7.1,0.6,6.3,3.5,4.179,0.092,59
1493,18.7,7.1,0.5,7.4,1.4,8.33,0.05,55
1454,18.7,7,0.8,7,0.9,4.048,0.065,41
1185,21.5,7.7,0.6,7,1.5,4.501,0.097,44
1473,19,7.3,1.1,6.8,1.5,8.187,0.069,43
1229,19.1,7.5,1.1,6.9,1,8.186,0.055,47
1502,18.3,7.4,0.9,7.1,1.3,3.592,0.027,42
1314,18.1,7.1,1.2,6.1,3.8,3.584,0.025,43
1224,18.2,7.1,1.2,7.8,1.5,3.776,0.028,40
1445,18.9,7,1.2,7.8,1,4.058,0.068,43
1188,18.4,7.1,1.1,7.9,2.5,4.108,0.084,41
1457,18.2,7.1,0.9,5.3,2.5,5.742,0.065,44
1225,18.5,7.1,0.5,7.2,0.8,5.742,0.065,47
1268,17.1,7,0.9,7.7,5.2,4.587,0.07,41
1354,18.5,7.1,0.9,8.4,2,7.91,0.03,40
1321,17.5,7,0.3,7.9,1.8,5.32,0.019,40
1050,17.3,7,0.2,7.9,1,4.667,0.082,40
1346,17.3,7,0.7,7.7,0.8,5.698,0.111,44
1340,17.3,7,1.3,6.9,6.7,10.66,0.093,41
1545,17.4,7.1,0.6,7.5,2.7,11.326,0.109,67
1352,17,7.1,0.6,6.8,2.7,7.451,0.165,64
1138,15.8,7.1,0.8,8.6,0.8,6.134,0.148,57
1424,16.1,6.9,0.8,7.6,1,4.846,0.111,46
1444,16.3,7,0.7,7.9,2.6,4.645,0.084,41
1427,15.6,7,0.8,8.1,1,4.857,0.093,41
1275,15.3,6.9,1.1,6.1,2.2,3.301,0.088,45
1662,15.1,7,1.3,6.2,4,4.206,0.086,42
1712,14.4,7,1,8.3,3.8,4.165,0.073,41
1352,14.6,7,1.1,8.4,1.3,4.611,0.113,40
1708,14.2,7.1,1.3,7.1,1.6,6.097,0.088,38
1443,13.5,7,1.2,6.1,2,6.218,0.07,31
1556,13.6,7.1,1,5.7,1.4,6.092,0.08,65
1938,14.8,7.3,0.2,7,1.8,6.822,0.157,55
1364,14.7,7.2,0.7,7,2,5.802,0.14,67
1856,15.9,7,2.1,9.3,1.4,2.936,0.11,61
1589,15.3,7,1.3,7.8,2.8,2.545,0.102,56
1395,14.5,7,1,6.8,1.6,2.695,0.063,33
1372,14.1,7.1,0.9,3.2,1,6.237,0.051,36
1177,14,7.5,0.6,7.1,2,3.379,0.157,41
1452,13,7.1,0.9,6.7,3,7.11,0.055,43
1254,13.4,7,0.8,4.7,0.7,6.349,0.069,42
1591,13.8,6.9,0.6,6.8,2,3.303,0.083,39
1322,13.6,7,0.7,7.4,2.2,4.291,0.079,39
1145,14.5,7.1,1,6.9,1.8,7.685,0.044,33
1474,14.1,7,0.7,6.9,1.6,4.262,0.123,35
1218,14.1,6.9,0.9,7,3.6,5.13,0.13,41
1220,13.6,7,1,7.2,2.7,11.754,0.045,43
1550,14.1,7,1.2,7.2,1.7,11.171,0.128,40
1218,12.4,6.9,1,6.9,1.7,5.988,0.086,38
1550,12.9,7,1.1,6.9,0.7,5.051,0.048,61
1208,12.9,7,1.2,7.2,2.3,5.654,0.09,31
1484,12.8,7,1.3,7.5,3,3.873,0.11,29
1243,13,7,1.4,8,4,4.518,0.195,43
1417,13.1,7,1.8,7.3,1.3,10.939,0.1,40
1254,13.3,6.9,1.9,7.6,1.7,9.792,0.068,40
1532,13,6.94,1.2,7.1,1.5,3.796,0.087,40
1360,13.3,7.02,1.3,7.3,4.7,3.298,0.099,46
1284,13.6,6.99,1.4,7.5,7.3,3.5,0.1,43
1224,13.8,6.86,1.8,7.4,5,3.711,0.072,44
1262,14,6.91,1.9,7.4,3,3.271,0.047,47
1388,13.7,6.96,1.2,9.5,2,6.025,0.045,46
1425,12.7,6.92,1.6,8.9,4,6.208,0.056,44
1218,12.6,6.89,1.4,9,4.7,4.052,0.058,40
1290,12.6,6.89,2.6,9.8,3.3,3.802,0.04,40
1331,12.5,7.01,2.9,8.4,3.3,5.955,0.047,40
1282,12.6,7.06,1.9,7.8,2.7,3.791,0.042,34
1222,11.6,6.91,3,7.2,1.3,4.077,0.043,32
1284,12.2,6.92,1.7,5.3,2.7,7.546,0.075,44
1424,12,7.03,1.7,5.9,1.3,6.69,0.076,44
1616,12,6.82,1.7,5.9,2,6.851,0.062,37
1318,12.2,6.86,1.8,8.1,3,6.142,0.056,31
1780,11.1,6.51,1.5,8.1,3.3,5.367,0.071,34
1814,11.2,6.58,1.6,6.9,2.7,4.534,0.076,33
1544,11.2,6.86,1.5,6.9,4,5.824,0.071,31
1434,11,6.82,0.8,5.7,5.3,6.979,0.048,31
1880,11.4,6.59,1,6.6,2.5,11.326,0.059,34
1661,11.6,6.77,1.3,6,5,11.881,0.067,32
